"No.";"Tipo";"Código";"Secuencia"
1;"ADN";"Seq_1";"gi|72185816|ref|NC_003282.3|Caenorhabditis elegans chromosome IV, complete sequence|4Ce 17Mb"

"q";"Dq Seq_1"
-20;2.09475
-19;2.08799
-18;2.08056
-17;2.07236
-16;2.06326
-15;2.05313
-14;2.04178
-13;2.02898
-12;2.01445
-11;1.99783
-10;1.97867
-9;1.95636
-8;1.93013
-7;1.89895
-6;1.86152
-5;1.81624
-4;1.76164
-3;1.69757
-2;1.62754
-1;1.55881
0;1.49643
1;1.43916
2;1.38456
3;1.33438
4;1.29177
5;1.25714
6;1.22909
7;1.20607
8;1.18684
9;1.17053
10;1.15651
11;1.1443
12;1.13357
13;1.12406
14;1.11556
15;1.10792
16;1.10102
17;1.09473
18;1.089
19;1.08373
20;1.07888
