"No.";"Tipo";"Código";"Secuencia"
1;"ADN";"Seq_1";"gi|86565306|ref|NC_003284.5|Caenorhabditis elegans chromosome X, complete sequence|XCe 17Mb"

"q";"Dq Seq_1"
-20;2.16662
-19;2.15981
-18;2.15233
-17;2.14406
-16;2.13486
-15;2.12459
-14;2.11304
-13;2.09997
-12;2.08507
-11;2.06794
-10;2.04807
-9;2.02478
-8;1.99718
-7;1.96406
-6;1.92381
-5;1.87431
-4;1.81309
-3;1.73853
-2;1.65385
-1;1.57091
0;1.50107
1;1.44361
2;1.39325
3;1.34839
4;1.31001
5;1.27821
6;1.25194
7;1.23002
8;1.21143
9;1.19546
10;1.18156
11;1.16934
12;1.15852
13;1.14885
14;1.14018
15;1.13235
16;1.12525
17;1.11878
18;1.11287
19;1.10744
20;1.10245
