"No.";"Tipo";"Código";"Secuencia"
1;"ADN";"Seq_1";"gi|86562519|ref|NC_003280.4|Caenorhabditis elegans chromosome II, complete sequence|2Ce 15Mb"

"q";"Dq Seq_1"
-20;2.08702
-19;2.0807
-18;2.07376
-17;2.06609
-16;2.05757
-15;2.04807
-14;2.03739
-13;2.02531
-12;2.01155
-11;1.99572
-10;1.97736
-9;1.95581
-8;1.93021
-7;1.89938
-6;1.86173
-5;1.81515
-4;1.75744
-3;1.68808
-2;1.61245
-1;1.54259
0;1.48565
1;1.43782
2;1.39312
3;1.3502
4;1.3115
5;1.27861
6;1.25124
7;1.22838
8;1.20908
9;1.19259
10;1.17835
11;1.16592
12;1.15499
13;1.14531
14;1.13667
15;1.12891
16;1.12192
17;1.11557
18;1.1098
19;1.10451
20;1.09966
