"No.";"Tipo";"Código";"Secuencia"
1;"ADN";"Seq_1";"gi|86561680|ref|NC_003279.4| Caenorhabditis elegans chromosome I, complete sequence|15Mb"

"q";"Dq Seq_1"
-20;1.91389
-19;1.9106
-18;1.907
-17;1.90302
-16;1.89862
-15;1.89372
-14;1.88823
-13;1.88204
-12;1.87503
-11;1.86701
-10;1.85775
-9;1.84695
-8;1.83421
-7;1.81895
-6;1.80039
-5;1.77741
-4;1.74848
-3;1.71179
-2;1.66596
-1;1.61197
0;1.5544
1;1.49757
2;1.4402
3;1.38062
4;1.32624
5;1.28284
6;1.24954
7;1.2238
8;1.20355
9;1.18727
10;1.17393
11;1.16282
12;1.15342
13;1.14537
14;1.13839
15;1.13229
16;1.12691
17;1.12212
18;1.11784
19;1.11398
20;1.11049
