"No.";"Tipo";"Código";"Secuencia"
1;"ADN";"Seq_1";"gi|86563600|ref|NC_003281.5|Caenorhabditis elegans chromosome III, complete sequence|3Ce 13Mb"

"q";"Dq Seq_1"
-20;2.0163
-19;2.01044
-18;2.00403
-17;1.99699
-16;1.98921
-15;1.98058
-14;1.97095
-13;1.96013
-12;1.94788
-11;1.9339
-10;1.91781
-9;1.8991
-8;1.87711
-7;1.85099
-6;1.81967
-5;1.78189
-4;1.7365
-3;1.68323
-2;1.62402
-1;1.56327
0;1.50461
1;1.44737
2;1.39002
3;1.33636
4;1.29142
5;1.25566
6;1.22716
7;1.204
8;1.1848
9;1.16858
10;1.15468
11;1.14261
12;1.13203
13;1.12267
14;1.11433
15;1.10684
16;1.10008
17;1.09395
18;1.08835
19;1.08323
20;1.07851
