"No.";"Tipo";"Código";"Secuencia"
1;"ADN";"Seq_1";"gi|86564547|ref|NC_003283.5|Caenorhabditis elegans chromosome V, complete sequence|5Ce 21Mb"

"q";"Dq Seq_1"
-20;2.18533
-19;2.17841
-18;2.17078
-17;2.16235
-16;2.15297
-15;2.14248
-14;2.13068
-13;2.11731
-12;2.10205
-11;2.08448
-10;2.06409
-9;2.04016
-8;2.0118
-7;1.97776
-6;1.93638
-5;1.88541
-4;1.82201
-3;1.74379
-2;1.65335
-1;1.56434
0;1.49119
1;1.43291
2;1.38229
3;1.33689
4;1.29783
5;1.26549
6;1.23895
7;1.217
8;1.19859
9;1.18294
10;1.16946
11;1.15772
12;1.14741
13;1.13827
14;1.13011
15;1.12279
16;1.11618
17;1.11018
18;1.10471
19;1.0997
20;1.0951
